['snd', 0.563, 'S', -1, 0, None]
['rcv', 6.907, 'SA', -1, 0, -1]
['snd', 6.967, 'A', 0, 0, 0]
['snd', 7.069, 'D', 0, 50, 0]
['snd', 7.361, 'D', 50, 50, 0]
['drop', 7.407, 'D', 100, 50, 0]
['snd', 7.479, 'D', 150, 50, 0]
['snd', 7.549, 'D', 200, 50, 0]
['snd', 7.612, 'D', 250, 50, 0]
['snd', 7.668, 'D', 300, 50, 0]
['snd', 7.729, 'D', 350, 50, 0]
['snd', 7.774, 'D', 400, 50, 0]
['snd', 7.817, 'D', 450, 50, 0]
['snd', 7.866, 'D', 500, 50, 0]
['rcv', 14.187, 'A', 550, 0, 50]
['snd', 14.515, 'D', 550, 50, 0]
['rcv', 20.856, 'A', 600, 0, 100]
['snd', 21.154, 'D', 100, 50, 0]
['drop', 21.463, 'D', 600, 50, 0]
['snd', 40.13, 'D', 100, 50, 0]
['snd', 88.086, 'D', 100, 50, 0]
['snd', 125.505, 'D', 100, 50, 0]
['snd', 154.058, 'D', 100, 50, 0]
['rcv', 172.011, 'A', 650, 0, 600]
['snd', 172.288, 'D', 600, 50, 0]
['snd', 172.561, 'D', 650, 50, 0]
['snd', 172.614, 'D', 700, 50, 0]
['snd', 172.665, 'D', 750, 50, 0]
['snd', 172.718, 'D', 800, 50, 0]
['snd', 172.785, 'D', 850, 50, 0]
['snd', 172.831, 'D', 900, 50, 0]
['snd', 172.88, 'D', 950, 50, 0]
['snd', 172.934, 'D', 1000, 50, 0]
['snd', 173.001, 'D', 1050, 50, 0]
['snd', 173.044, 'D', 1100, 50, 0]
['snd', 196.117, 'D', 600, 50, 0]
['snd', 238.335, 'D', 600, 50, 0]
['rcv', 257.619, 'A', 1150, 0, 650]
['snd', 258.102, 'D', 1150, 50, 0]
['rcv', 264.411, 'A', 1200, 0, 700]
['snd', 264.76, 'D', 700, 50, 0]
['drop', 265.065, 'D', 1200, 50, 0]
['rcv', 271.382, 'A', 1250, 0, 750]
['snd', 271.768, 'D', 1250, 50, 0]
['rcv', 278.732, 'A', 1300, 0, 800]
['snd', 279.254, 'D', 800, 50, 0]
['snd', 279.623, 'D', 1300, 50, 0]
['rcv', 284.969, 'A', 1350, 0, 850]
['snd', 285.439, 'D', 1350, 50, 0]
['rcv', 291.067, 'A', 1400, 0, 900]
['snd', 291.377, 'D', 900, 50, 0]
['snd', 291.967, 'D', 1400, 50, 0]
['rcv', 297.066, 'A', 1450, 0, 950]
['snd', 297.712, 'D', 1450, 50, 0]
['rcv', 309.85, 'A', 1500, 0, 1000]
['snd', 310.193, 'D', 1000, 50, 0]
['snd', 310.616, 'D', 1500, 50, 0]
['rcv', 316.937, 'A', 1550, 0, 1050]
['snd', 317.306, 'D', 1550, 43, 0]
['rcv', 323.649, 'A', 1593, 0, 1100]
['snd', 352.057, 'D', 1100, 50, 0]
['rcv', 371.257, 'A', 1593, 0, 1150]
['snd', 413.283, 'D', 1150, 50, 0]
['rcv', 426.107, 'A', 1593, 0, 1200]
['snd', 455.56, 'D', 1200, 50, 0]
['snd', 478.421, 'D', 1200, 50, 0]
['snd', 512.526, 'D', 1200, 50, 0]
['snd', 535.679, 'D', 1200, 50, 0]
['snd', 578.501, 'D', 1200, 50, 0]
['snd', 608.818, 'D', 1200, 50, 0]
['snd', 640.823, 'D', 1200, 50, 0]
['snd', 664.267, 'F', 1593, 0, 0]
['rcv', 669.846, 'FA', 1593, 0, 0]
['snd', 669.966, 'A', 1594, 0, 1]
('Amount of data trasnfered: ', 1593)
('Number of segments sent: ', 32)
('Numebr of packets droped: ', 3)
('Number of retransmit segments: ', 21)
('Number of duplicated acks: ', 43)
